BTC,LTC,ETC,ETH,BCH,XMR,XRP,ZEC,DASH
6622.9,96.25,15.25,524.2,874.4,121.98,0.5315,192.65,253.46
6630.5,96.22,15.18,525.56,873.1,121.63,0.5307,192.37,253.46
6641.4,96.22,15.29,528.9,878.4,121.98,0.5324,193.18,255.75
6630.5,95.94,15.23,521.66,869.9,121.0,0.5298,190.66,255.75
6636.0,96.12,15.47,523.31,872.3,120.97,0.5316,191.7,255.0
6618.9,96.17,15.33,522.06,869.4,120.0,0.5302,192.66,255.0
6735.0,98.26,15.72,532.48,890.3,123.25,0.542,195.79,255.0
6759.6,97.96,16.16,537.08,889.4,122.7,0.5417,194.0,259.59
6751.5,98.17,16.23,535.02,891.1,122.17,0.5415,194.32,259.59
6748.8,97.91,16.4,536.04,892.0,123.0,0.5438,195.15,259.68
6750.6,97.82,16.43,535.0,891.0,122.5,0.5404,195.38,257.6
6750.0,97.92,16.42,536.75,887.3,122.38,0.541,193.99,262.46
6749.3,97.62,16.45,535.01,888.8,122.46,0.541,194.28,262.82
6743.1,97.74,16.39,532.22,882.8,122.44,0.5389,193.41,267.36
6720.5,97.2,16.53,533.18,880.7,122.44,0.538,193.64,265.7
6741.9,97.81,16.4,534.16,886.8,121.73,0.5384,192.81,265.69
6755.4,97.99,17.33,535.99,891.9,122.5,0.54,193.33,265.7
6752.9,97.64,17.35,535.9,893.5,122.16,0.5423,193.43,265.81
6755.9,97.85,17.14,538.84,895.0,122.79,0.5443,193.52,268.0
6775.5,98.88,17.14,543.0,900.2,123.67,0.5477,195.74,268.39
6770.8,98.32,17.26,541.7,900.3,123.99,0.5447,196.46,268.52
6761.2,97.69,17.09,539.0,896.1,124.19,0.5444,196.37,266.8
6753.4,97.89,17.17,540.67,897.1,123.28,0.5435,194.68,266.8
6768.0,97.86,17.06,541.63,897.7,123.03,0.546,194.48,266.8
6755.4,97.91,17.09,538.59,886.1,123.29,0.5436,195.58,266.8
6724.5,96.89,16.89,534.0,882.9,122.4,0.5366,194.46,266.08
6732.9,97.26,16.92,533.74,880.8,121.51,0.539,195.06,264.0
6736.2,97.31,17.18,536.42,883.3,122.6,0.5409,194.02,264.0
6732.7,96.97,16.98,535.82,883.0,122.1,0.5386,192.0,264.0
6719.5,96.71,16.81,533.12,877.7,122.15,0.536,191.62,264.0
6729.1,96.6,16.84,530.49,875.1,122.3,0.535,191.25,264.96
